Frame skip rate = 0
Grab Retrieve Color Resize
108 4455 2763 517 
71 5756 3314 571 
92 5329 2685 605 
83 4481 3027 594 
79 5654 3110 609 
73 5654 2869 594 
136 5744 3930 527 
169 5489 3057 571 
128 5473 3230 574 
79 5483 3041 601 
7871 4316 2607 586 
88 4350 3005 605 
74 5666 2893 583 
95 5124 2659 571 
114 4407 2946 601 
78 4465 4574 642 
80 5628 3039 604 
115 5655 3024 602 
82 4491 2702 583 
68 4528 2661 604 
113 5666 2866 583 
87 5744 2867 577 
218 4721 2444 580 
115 4378 2839 371 
69 5372 2748 608 
13766 4512 2565 379 
78 4214 2934 609 
74 5531 2907 542 
98 4959 3065 617 
110 4408 3005 601 
72 4476 3538 575 
77 5642 2929 568 
94 5529 2924 585 
76 4498 2630 358 
85 4486 3083 588 
80 5639 2893 571 
144 5770 2904 575 
258 4655 2491 583 
128 4409 2583 359 
71 5124 2710 617 
15940 4379 2518 375 
83 4231 2906 569 
69 5532 2881 593 
72 4359 3051 608 
82 4397 3446 600 
113 4502 3180 572 
86 4456 3018 579 
80 4408 2625 595 
68 4496 3099 592 
80 5569 3016 450 
72 4367 2559 581 
78 4480 2595 588 
484 5687 3233 607 
131 5630 3267 581 
85 5516 3185 584 
14437 4351 2474 461 
81 4223 2706 560 
83 5622 2621 472 
70 4428 2666 572 
82 4411 2614 566 
71 5687 3327 575 
79 4746 2841 469 
107 4389 2561 584 
78 4482 2609 587 
70 5623 3367 578 
96 4624 2677 594 
93 5716 3304 579 
693 4386 2584 565 
83 5579 2640 433 
80 4918 2788 446 
19900 4353 2502 576 
118 4153 3684 586 
81 4296 2981 565 
102 5412 3049 608 
79 5590 2865 586 
149 5583 3220 598 
85 5527 3338 554 
636 4905 2607 437 
80 4432 2608 474 
68 5033 2928 574 
3477 5646 3257 573 
96 5589 3051 442 
432 4309 2841 586 
114 4359 3089 631 
90 5675 3147 627 
12767 4423 2560 372 
82 4202 2925 619 
108 5652 3196 592 
78 5273 3080 595 
85 4379 3194 607 
79 4458 2988 601 
67 5735 2897 612 
137 5643 3127 605 
83 4461 2993 588 
71 4834 3050 589 
113 5627 3312 597 
97 5751 3499 591 
212 4679 2480 572 
124 4335 2579 593 
80 5519 2792 619 
15363 4530 2573 460 
135 4281 3000 608 
78 5607 2900 557 
83 5397 3044 607 
91 4364 2958 594 
94 4434 3840 605 
132 5649 2986 596 
116 4466 3249 616 
67 4474 3097 612 
97 5596 3037 597 
82 4412 2946 596 
109 4504 2987 588 
163 5669 2861 598 
139 5691 2946 598 
98 5658 3253 578 
6657 4688 2528 462 
91 4327 2916 603 
81 5654 3321 591 
131 5039 3019 584 
83 4413 2602 572 
77 4464 2634 593 
80 5737 3337 581 
132 5516 2968 600 
83 4483 2995 609 
69 4427 3384 587 
76 5638 2894 601 
97 5755 2883 638 
492 4355 2498 610 
82 4395 3026 620 
84 5189 3670 624 
7504 4774 2657 384 
88 4373 2989 596 
112 5640 2900 583 
84 5307 2638 587 
81 4417 2916 596 
83 4485 2955 565 
82 5688 3378 573 
139 5274 2619 581 
84 4480 2607 569 
74 4492 2666 571 
82 5681 3309 582 
93 5712 2989 589 
516 4779 2680 369 
87 4407 2617 619 
69 5578 3219 616 
5966 4840 2953 605 
80 4376 3283 586 
111 4490 2632 567 
69 5672 2927 611 
93 5694 3053 620 
82 4462 3040 582 
68 4479 3041 607 
76 5648 2869 574 
160 5761 3193 565 
67 4443 2652 568 
83 4445 2734 579 
75 5694 3325 571 
188 4804 2508 586 
108 4435 2782 608 
83 5726 3277 598 
7571 5633 2617 468 
82 4386 2603 589 
92 4493 2989 572 
72 4492 3011 584 
110 5656 3263 582 
93 5746 2745 484 
66 4427 3009 589 
79 4414 2616 566 
80 5694 3311 588 
80 4801 2653 595 
112 4399 2980 603 
102 4487 3141 609 
162 5659 2848 597 
135 5651 3297 598 
88 5642 3350 589 
7415 4383 2960 474 
79 5470 3200 577 
88 5556 2900 436 
66 4445 2655 552 
79 4406 2603 443 
109 5697 3305 590 
77 4830 3023 580 
78 4403 2761 595 
94 5718 3251 586 
68 5639 3326 575 
133 5274 2633 601 
84 5667 3349 582 
182 4924 2484 592 
130 5661 3836 609 
81 4924 3712 610 
3205 5650 3621 835 
80 4243 2993 615 
70 4440 3012 601 
78 4493 3047 614 
111 5648 2909 607 
81 4493 3018 611 
83 4955 3779 611 
78 4391 2991 604 
115 5707 2896 572 
87 5325 3040 593 
79 4404 2592 590 
78 4473 2641 588 
407 5714 2874 612 
99 5676 2862 604 
82 5635 3262 582 
8228 4444 2612 484 
115 5563 3285 571 
90 5108 2597 605 
77 4431 3024 599 
82 4446 3014 598 
89 4467 2877 420 
110 4685 3989 605 
82 4434 2935 599 
79 4482 3092 608 
81 5593 2630 579 
86 4383 2597 592 
116 4492 2999 607 
168 5747 2956 611 
133 5707 2893 586 
84 5769 2768 600 
8402 4982 2575 401 
95 5537 3261 575 
84 5529 3067 577 
73 5580 3321 579 
152 5317 2587 584 
84 5705 3310 593 
94 4906 2619 578 
88 5637 3250 596 
135 5693 3271 588 
82 4548 3047 588 
79 4416 2570 357 
82 5697 3305 586 
503 4828 2845 609 
87 4406 2925 612 
72 4709 3267 603 
5534 5694 2849 619 
110 4254 2991 606 
77 4461 3104 583 
87 5727 2633 600 
84 5649 3251 592 
132 5700 3093 584 
72 5658 3304 581 
92 5340 2578 594 
86 5672 3316 591 
85 4936 3137 368 
116 5628 3268 592 
95 5714 3279 397 
165 5675 3221 609 
147 5486 3128 602 
80 5408 2725 603 
10754 4472 2539 467 
86 4242 2879 595 
78 5589 3311 566 
83 4698 2695 575 
167 5178 2863 593 
95 5755 2726 515 
72 5670 3336 575 
113 5268 2910 597 
82 5627 3307 584 
83 4876 2989 581 
131 5624 3270 591 
97 5736 2910 467 
162 5689 3181 602 
131 5507 3184 596 
76 5418 2639 594 
10301 4532 2501 442 
82 4234 2541 618 
75 5724 2891 613 
131 5337 2639 587 
88 4413 2575 581 
76 4442 2604 576 
90 5625 2925 612 
141 5674 3238 603 
79 4484 2624 604 
66 4515 2620 594 
79 5630 3289 592 
93 5696 2799 374 
548 4329 2447 444 
84 4375 2551 577 
67 5467 2670 609 
13999 4562 2574 590 
117 4331 2958 608 
73 5680 2864 576 
80 5228 2988 655 
85 4358 3770 616 
132 4499 3066 576 
84 5678 2901 576 
93 5605 2575 591 
83 4444 2959 516 
70 4471 3033 604 
80 5640 2874 582 
149 5738 2941 579 
191 4714 2520 441 
118 4426 2557 399 
66 5347 2638 592 
14622 4468 2486 464 
85 4233 2577 602 
78 5718 3319 583 
83 4802 2644 584 
116 4424 2962 594 
75 4453 2960 596 
69 5675 2905 602 
97 5675 3074 604 
112 4488 2760 570 
67 4505 2649 356 
83 5663 3287 595 
92 5695 2930 558 
444 4339 2433 559 
85 4393 2563 574 
90 5484 2609 582 
14232 4462 2586 468 
85 4368 2777 586 
90 5704 3152 581 
69 4476 2955 566 
84 4422 2563 436 
115 5709 3306 578 
83 4899 3064 583 
83 4392 2954 589 
98 4447 2981 601 
68 5661 2928 602 
155 5675 3059 605 
84 4465 3002 618 
152 4360 2843 595 
111 5664 3247 630 
83 5422 3469 601 
3355 5766 2948 581 
114 4233 2976 597 
77 4490 3682 608 
69 4452 3023 606 
114 4376 3147 603 
74 4439 2964 596 
67 4476 3010 589 
81 4427 2610 605 
110 4466 3099 614 
84 5590 2987 594 
82 5596 3963 615 
90 5729 2727 568 
176 5645 3193 577 
150 5556 3168 580 
82 5490 2849 563 
11596 4373 2527 443 
82 4320 2541 610 
103 5672 3268 582 
83 4741 2612 573 
93 4428 2573 601 
81 4497 2995 596 
72 5701 2931 603 
121 4432 2985 603 
78 4454 3808 609 
79 4403 3771 610 
88 4423 3784 619 
91 4472 3635 458 
433 4298 2801 581 
96 4385 3637 617 
69 4417 2939 604 
11897 4432 2617 597 
113 4368 3148 592 
77 5648 2894 580 
84 5192 3002 596 
81 4381 2556 368 
79 4468 2568 581 
74 5667 2904 572 
132 5579 3269 593 
84 4455 2593 441 
68 4480 2644 567 
85 5646 3293 588 
92 5687 2650 598 
429 4324 2818 633 
84 4378 2969 612 
79 5607 4010 603 
3671 4923 2827 390 
112 4369 2937 595 
86 4422 3738 622 
78 5629 2899 565 
99 5583 2580 580 
103 4462 2635 567 
67 5003 2635 580 
117 5653 3245 601 
94 5707 3486 598 
66 4449 2628 578 
83 4427 2574 601 
85 5665 2894 564 
198 5116 2801 597 
125 4418 2997 631 
82 5621 3323 605 
4225 4735 2600 605 
84 4369 3154 595 
111 4454 2976 357 
84 5640 2888 613 
96 5578 2925 610 
80 4446 2651 578 
85 4465 2616 581 
106 5721 2865 590 
138 5726 2862 591 
83 5295 2605 580 
85 4423 2539 439 
79 5660 3283 607 
448 4440 2814 583 
87 4365 3023 636 
84 5598 3487 614 
6330 5685 2584 390 
116 4263 2928 605 
76 4356 3798 604 
71 4455 3797 611 
94 5650 2925 613 
136 5613 2956 556 
81 5765 2999 618 
84 4391 2964 606 
96 5615 3014 614 
81 5230 3050 583 
133 4404 2561 596 
82 4457 3071 616 
452 5558 2580 599 
97 4354 2524 580 
76 5365 2628 578 
14390 4903 2462 448 
116 4257 2537 452 
77 4469 2602 595 
71 5767 3303 583 
135 5325 2548 607 
80 4419 2941 602 
73 4464 3104 595 
761 5663 3225 598 
134 5732 3292 589 
88 5040 2640 606 
88 4429 2953 595 
81 5638 3119 614 
456 5259 2924 628 
89 4337 2958 617 
111 4586 2831 607 
15741 4407 2580 461 
85 5568 3145 578 
86 5460 3169 561 
85 4757 2526 544 
125 5679 3273 596 
109 5578 3183 563 
83 5002 2587 587 
86 4411 2905 614 
109 5690 3855 589 
82 4645 2942 604 
85 4417 2563 619 
79 4433 3079 597 
458 5609 2703 611 
86 4421 2933 596 
95 5108 2896 596 
9561 4493 2607 530 
115 5583 3281 610 
89 5701 3255 589 
83 4598 2970 579 
88 4416 2530 433 
113 5639 3295 581 
80 4913 2704 596 
109 4369 2943 604 
80 5700 2878 563 
80 5231 2980 593 
117 4407 2556 583 
77 4451 2591 567 
155 5707 2831 610 
142 5628 2804 617 
88 5572 2752 614 
8992 4629 2579 597 
87 5544 2751 574 
128 5503 3178 560 
101 5523 3260 551 
94 5185 2500 597 
84 4324 2941 609 
72 4479 2621 372 
116 5695 3275 597 
88 5690 3262 599 
86 4514 2975 573 
83 4412 2542 442 
80 5689 3285 583 
447 4810 2628 595 
98 5666 3214 605 
82 5711 3340 613 
5760 5644 2517 422 
114 4240 2910 608 
79 4457 2949 585 
82 5710 2675 606 
87 5635 2848 593 
131 5687 3311 586 
82 5682 3298 583 
95 5171 2919 601 
82 4483 2901 581 
65 4485 2653 369 
78 5629 3279 591 
